elapsed_s,left_position_rad,right_position_rad,left_command_torque_nm,right_command_torque_nm,left_actual_torque_nm,right_actual_torque_nm
1.2700,0.7163690,0.6047720,-0.0005,0.0005,0.0094,0.0031
1.2800,0.7163690,0.6047720,-0.0005,0.0005,0.0094,0.0305
1.2900,0.7159855,0.6047720,-0.0006,0.0006,0.0306,0.0226
1.3000,0.7163690,0.6047720,-0.0006,0.0006,-0.0009,0.0165
1.3100,0.7163690,0.6047720,-0.0006,0.0006,-0.0009,0.0104
1.3200,0.7163690,0.6047720,-0.0006,0.0006,-0.0009,0.0031
1.3300,0.7163690,0.6047720,-0.0006,0.0006,0.0197,0.0305
1.3400,0.7159855,0.6047720,-0.0007,0.0007,-0.0174,0.0244
1.3500,0.7163690,0.6047720,-0.0007,0.0007,-0.0009,0.0031
1.3600,0.7163690,0.6047720,-0.0007,0.0007,0.0047,-0.0092
1.3700,0.7163690,0.6047720,-0.0007,0.0007,0.0047,-0.0226
1.3800,0.7163690,0.6047720,-0.0007,0.0007,0.0447,0.0104
1.3900,0.7163690,0.6047720,-0.0006,0.0006,0.0197,0.0031
1.4000,0.7159855,0.6047720,-0.0006,0.0006,-0.0009,0.0305
1.4100,0.7159855,0.6047720,-0.0006,0.0006,0.0047,0.0104
1.4200,0.7163690,0.6047720,-0.0005,0.0005,-0.0009,0.0031
1.4300,0.7163690,0.6047720,-0.0004,0.0004,-0.0009,-0.0165
1.4400,0.7163690,0.6047720,-0.0005,0.0005,0.0047,-0.0031
1.4500,0.7163690,0.6047720,-0.0005,0.0005,0.0047,0.0104
1.4600,0.7159855,0.6047720,-0.0005,0.0005,-0.0009,-0.0031
1.4700,0.7159855,0.6047720,-0.0005,0.0005,-0.0071,0.0244
1.4800,0.7159855,0.6047720,-0.0004,0.0004,0.0047,0.0031
1.4900,0.7163690,0.6051554,-0.0005,0.0005,0.0047,-0.0244
1.5000,0.7163690,0.6047720,-0.0004,0.0004,-0.0056,0.0104
1.5100,0.7163690,0.6047720,-0.0005,0.0005,-0.0009,0.0165
1.5200,0.7163690,0.6047720,-0.0005,0.0005,-0.0009,0.0153
1.5300,0.7163690,0.6047720,-0.0006,0.0006,-0.0009,-0.0092
1.5400,0.7163690,0.6047720,-0.0005,0.0005,-0.0009,0.0031
1.5500,0.7159855,0.6047720,-0.0005,0.0005,0.0047,-0.0244
1.5600,0.7159855,0.6047720,-0.0006,0.0006,-0.0009,0.0031
1.5700,0.7163690,0.6047720,-0.0006,0.0006,0.0094,0.0031
1.5800,0.7159855,0.6051554,-0.0006,0.0006,0.0047,0.0031
1.5900,0.7159855,0.6051554,-0.0006,0.0006,0.0094,0.0153
1.6000,0.7159855,0.6051554,-0.0006,0.0006,-0.0268,0.0305
1.6100,0.7159855,0.6051554,-0.0006,0.0006,0.0047,-0.0043
1.6200,0.7159855,0.6051554,-0.0007,0.0007,0.0047,-0.0244
1.6300,0.7159855,0.6051554,-0.0007,0.0007,-0.0221,0.0031
1.6400,0.7159855,0.6051554,-0.0007,0.0007,0.0047,0.0031
1.6500,0.7159855,0.6051554,-0.0007,0.0007,-0.0009,0.0226
1.6600,0.7159855,0.6047720,-0.0006,0.0006,0.0094,-0.0244
1.6700,0.7163690,0.6051554,-0.0006,0.0006,0.0047,0.0122
1.6800,0.7159855,0.6051554,-0.0007,0.0007,0.0244,0.0122
1.6900,0.7159855,0.6051554,-0.0007,0.0007,0.0047,0.0031
1.7000,0.7163690,0.6051554,-0.0007,0.0007,0.0047,0.0122
1.7100,0.7159855,0.6051554,-0.0007,0.0007,-0.0024,-0.0061
1.7200,0.7159855,0.6051554,-0.0006,0.0006,0.0047,0.0031
1.7300,0.7159855,0.6051554,-0.0005,0.0005,0.0141,0.0031
1.7400,0.7159855,0.6055389,-0.0007,0.0007,0.0047,-0.0244
1.7500,0.7159855,0.6051554,-0.0007,0.0007,0.0047,-0.0244
1.7600,0.7159855,0.6055389,-0.0007,0.0007,0.0047,-0.0153
1.7700,0.7159855,0.6051554,-0.0008,0.0008,0.0094,0.0122
1.7800,0.7159855,0.6051554,-0.0008,0.0008,0.0047,0.0031
1.7900,0.7159855,0.6055389,-0.0008,0.0008,0.0165,-0.0043
1.8000,0.7159855,0.6055389,-0.0007,0.0007,-0.0009,0.0214
1.8100,0.7156020,0.6055389,-0.0007,0.0007,-0.0024,-0.0061
1.8200,0.7156020,0.6055389,-0.0007,0.0007,0.0103,0.0305
1.8300,0.7159855,0.6055389,-0.0007,0.0007,0.0103,-0.0244
1.8400,0.7159855,0.6055389,-0.0008,0.0008,0.0127,0.0031
1.8500,0.7156020,0.6055389,-0.0008,0.0008,-0.0235,0.0031
1.8600,0.7159855,0.6055389,-0.0008,0.0008,-0.0244,-0.0061
1.8700,0.7156020,0.6055389,-0.0008,0.0008,0.0047,0.0122
1.8800,0.7156020,0.6055389,-0.0009,0.0009,-0.0024,0.0031
1.8900,0.7156020,0.6055389,-0.0009,0.0009,-0.0174,0.0305
1.9000,0.7156020,0.6055389,-0.0009,0.0009,-0.0103,0.0031
1.9100,0.7156020,0.6055389,-0.0008,0.0008,0.0047,-0.0427
1.9200,0.7156020,0.6055389,-0.0009,0.0009,0.0047,-0.0244
1.9300,0.7156020,0.6055389,-0.0010,0.0010,-0.0174,0.0031
1.9400,0.7156020,0.6059224,-0.0010,0.0010,-0.0103,-0.0244
1.9500,0.7156020,0.6059224,-0.0011,0.0011,0.0047,-0.0244
1.9600,0.7156020,0.6059224,-0.0011,0.0011,-0.0024,-0.0134
1.9700,0.7156020,0.6059224,-0.0011,0.0011,0.0047,-0.0244
1.9800,0.7156020,0.6059224,-0.0011,0.0011,0.0047,-0.0244
1.9900,0.7156020,0.6059224,-0.0012,0.0012,0.0047,0.0031
2.0000,0.7152185,0.6059224,-0.0012,0.0012,0.0329,0.0031
2.0100,0.7156020,0.6059224,-0.0013,0.0013,-0.0103,-0.0134
2.0200,0.7156020,0.6059224,-0.0013,0.0013,0.0103,0.0214
2.0300,0.7152185,0.6059224,-0.0013,0.0013,-0.0033,0.0195
2.0400,0.7152185,0.6059224,-0.0014,0.0014,-0.0461,-0.0244
2.0500,0.7156020,0.6059224,-0.0015,0.0015,0.0174,0.0195
2.0600,0.7152185,0.6059224,-0.0015,0.0015,-0.0174,0.0031
2.0700,0.7156020,0.6059224,-0.0015,0.0015,-0.0094,0.0134
2.0800,0.7152185,0.6059224,-0.0016,0.0016,-0.0033,0.0031
2.0900,0.7152185,0.6059224,-0.0017,0.0017,0.0118,0.0031
2.1000,0.7152185,0.6059224,-0.0016,0.0016,0.0118,0.0031
2.1100,0.7152185,0.6059224,-0.0017,0.0017,-0.0103,0.0031
2.1200,0.7152185,0.6059224,-0.0017,0.0017,0.0174,0.0031
2.1300,0.7152185,0.6059224,-0.0017,0.0017,-0.0306,0.0031
2.1400,0.7152185,0.6059224,-0.0016,0.0016,0.0118,0.0031
2.1500,0.7152185,0.6063059,-0.0016,0.0016,-0.0033,-0.0244
2.1600,0.7148350,0.6063059,-0.0016,0.0016,0.0047,-0.0305
2.1700,0.7152185,0.6063059,-0.0016,0.0016,-0.0094,0.0031
2.1800,0.7152185,0.6063059,-0.0016,0.0016,-0.0094,-0.0073
2.1900,0.7152185,0.6063059,-0.0017,0.0017,-0.0174,-0.0134
2.2000,0.7148350,0.6063059,-0.0017,0.0017,-0.0033,-0.0305
2.2100,0.7152185,0.6063059,-0.0018,0.0018,-0.0094,-0.0244
2.2200,0.7148350,0.6063059,-0.0019,0.0019,0.0047,-0.0134
2.2300,0.7148350,0.6063059,-0.0020,0.0020,-0.0033,0.0994
2.2400,0.7148350,0.6063059,-0.0020,0.0020,0.0047,-0.0244
2.2500,0.7148350,0.6063059,-0.0020,0.0020,0.0000,-0.0073
2.2600,0.7148350,0.6063059,-0.0020,0.0020,0.0047,-0.0073
2.2700,0.7148350,0.6063059,-0.0021,0.0021,0.0212,-0.0073
2.2800,0.7148350,0.6063059,-0.0021,0.0021,0.0080,0.0031
2.2900,0.7148350,0.6063059,-0.0020,0.0020,0.0047,-0.0244
2.3000,0.7148350,0.6063059,-0.0021,0.0021,-0.0094,0.0153
2.3100,0.7148350,0.6063059,-0.0020,0.0020,0.0047,-0.0244
2.3200,0.7148350,0.6063059,-0.0021,0.0021,0.0000,0.0031
2.3300,0.7148350,0.6063059,-0.0021,0.0021,0.0000,0.0031
