elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_actual_torque_nm,right_actual_torque_nm,left_nn_command_nm,right_nn_command_nm
0.9300,-0.1081,-0.0305,-0.4213,-0.0027,0.0000,-0.0226,3.7847,3.5653
0.9401,-0.1081,-0.0305,-0.4213,-0.0027,0.0000,-0.0226,3.7858,3.5654
0.9500,-0.1136,-0.0305,-0.4213,0.1804,0.0000,-0.0226,3.7870,3.5688
0.9600,-0.1191,-0.0305,-0.4213,0.1804,0.0000,-0.0226,3.7832,3.5694
0.9700,-0.1191,-0.0305,-0.4213,0.1193,0.0000,-0.0226,3.7845,3.5665
0.9801,-0.1191,-0.0305,-0.4213,-0.0027,0.0000,-0.0226,3.7868,3.5644
0.9902,-0.1191,-0.0305,-0.4213,-0.0027,0.0000,-0.0226,3.7868,3.5664
1.0003,-0.1246,-0.0305,-0.4213,0.1804,0.0000,-0.0226,3.7845,3.5681
1.0114,-0.1246,-0.0305,-0.4213,0.1804,0.0000,-0.0226,3.7846,3.5694
1.0200,-0.1301,-0.0305,-0.4213,-0.0027,0.0000,-0.0226,3.7836,3.5687
1.0300,-0.1301,-0.0305,-0.4213,-0.0638,0.0000,-0.0226,3.7840,3.5671
1.0400,-0.1355,-0.0305,-0.4268,0.0583,0.0000,-0.0226,3.7848,3.5670
1.0505,-0.1355,-0.0305,-0.4213,0.1804,0.0000,-0.0226,3.7855,3.5678
1.0600,-0.1355,-0.0305,-0.4213,-0.0027,0.0000,-0.0226,3.7857,3.5681
1.0700,-0.1355,-0.0305,-0.4213,-0.0638,0.0000,-0.0226,3.7851,3.5674
1.0801,-0.1410,-0.0305,-0.4268,-0.1859,0.0000,-0.0226,3.7852,3.5657
1.0900,-0.1410,-0.0305,-0.4268,-0.1859,0.0000,-0.0226,3.7873,3.5646
1.1003,-0.1465,-0.0305,-0.4323,-0.1248,0.0000,-0.0226,3.7879,3.5650
1.1100,-0.1465,-0.0305,-0.4323,-0.1859,0.0000,-0.0226,3.7883,3.5653
1.1200,-0.1465,-0.0305,-0.4378,-0.2469,0.0000,-0.0226,3.7884,3.5639
1.1300,-0.1465,-0.0305,-0.4378,-0.1248,0.0000,-0.0226,3.7902,3.5634
1.1400,-0.1520,-0.0305,-0.4432,-0.0638,0.0000,-0.0226,3.7908,3.5636
1.1500,-0.1520,-0.0305,-0.4432,-0.0638,0.0000,-0.0226,3.7916,3.5634
1.1600,-0.1520,-0.0305,-0.4487,-0.0027,0.0000,-0.0226,3.7914,3.5641
1.1707,-0.1575,-0.0305,-0.4487,0.0583,0.0000,-0.0226,3.7908,3.5647
1.1800,-0.1575,-0.0305,-0.4487,0.1804,0.0000,-0.0226,3.7908,3.5657
