elapsed_s,pc_unix_time_s,state_sequence,left_angle_deg,right_angle_deg,left_angular_velocity_rad_s,right_angular_velocity_rad_s,left_actual_torque_nm,right_actual_torque_nm
123.34400000000005,1786006781.5129783,8665,2.829808844838813,5.090096026114453,1.8993664979934692,-1.4242585897445679,0.663640022277832,-0.6844200491905212
123.35999999999967,1786006781.517107,8666,0.6050796283822596,5.721806562070592,1.8748654127120972,-1.3134710788726807,0.3628399968147278,-0.35624003410339355
123.375,1786006781.5336258,8667,-0.5429932088268437,6.880869173654245,1.943042278289795,-1.1899003982543945,0.10622000694274902,-0.08540000021457672
123.39099999999962,1786006781.552277,8668,-2.7567394810980166,7.485115518957763,1.9558254480361938,-1.150485634803772,-0.28012001514434814,0.26840001344680786
123.40700000000015,1786006781.5718002,8669,-3.8114231417855353,8.506843516899972,2.028263568878174,-1.02584969997406,-0.6269800662994385,0.5697399973869324
123.40700000000015,1786006781.5766573,8670,-5.799950756364708,8.990243325218453,2.0730044841766357,-0.9992180466651917,-1.0777101516723633,0.9997900724411011
123.42199999999957,1786006781.594429,8671,-6.547023187402362,9.946053167480867,2.116680383682251,-0.7861651182174683,-1.2633601427078247,1.277340054512024
123.45399999999972,1786006781.611947,8672,-8.244407158420572,10.23169850875997,2.196575164794922,-0.66685551404953,-1.63372004032135,1.633580207824707
123.45399999999972,1786006781.6213655,8673,-9.117824428725122,11.09412600468997,1.9664781093597412,-0.8767126202583313,-1.8729500770568848,1.8690401315689087
123.46900000000005,1786006781.6329546,8674,-10.397726747104642,11.583017285101144,1.7374463081359863,-0.9203884601593018,-2.1225202083587646,2.1655001640319824
123.48499999999967,1786006781.6532562,8675,-10.980007204037397,12.044444374859696,1.5339807271957397,-0.8777778744697571,-2.4388301372528076,2.3741202354431152
123.51599999999962,1786006781.677992,8676,-12.11159879477926,12.044444374859696,1.212270975112915,-0.8777778744697571,-2.663490056991577,2.676680088043213
123.53200000000015,1786006781.6927993,8677,-12.655418456495676,12.044444374859696,1.2825783491134644,-0.8777778744697571,-2.8655900955200195,2.830400228500366
123.53200000000015,1786006781.6961577,8678,-13.583764108105468,12.044444374859696,1.2804478406906128,-0.8777778744697571,-3.0089402198791504,2.994490385055542
123.54699999999957,1786006781.7136092,8679,-13.85841967501002,12.044444374859696,1.1771172285079956,-0.8777778744697571,-3.1203300952911377,3.148210287094116
123.57899999999972,1786006781.7360742,8680,-14.078146860609332,12.044444374859696,0.8372978568077087,-0.8777778744697571,-3.249109983444214,3.2482502460479736
123.59400000000005,1786006781.7528565,8681,-14.23744736262154,12.044444374859696,0.8394283652305603,-0.8777778744697571,-3.3496901988983154,3.3031504154205322
123.59400000000005,1786006781.7544324,8682,-14.68239320591285,12.044444374859696,0.5475459098815918,-0.8777778744697571,-3.3496901988983154,3.35683012008667
123.60999999999967,1786006781.7745695,8683,-14.863673256674158,12.044444374859696,0.8010788559913635,-0.8777778744697571,-3.397160053253174,3.4568703174591064
123.625,1786006781.792856,8684,-14.709864226754641,12.044444374859696,1.8152105808258057,-0.8777778744697571,-3.5062003135681152,3.442840099334717
123.65700000000015,1786006781.8136551,8685,-14.495628513248022,12.044444374859696,1.4743260145187378,-0.8777778744697571,-3.4056200981140137,3.455040216445923
123.65700000000015,1786006781.8156636,8686,-14.44619160403547,12.044444374859696,0.6412891745567322,-0.8777778744697571,-3.4159600734710693,3.462970018386841
123.67199999999957,1786006781.8328886,8687,-14.567038141020504,12.044444374859696,0.24927186965942383,-0.8777778744697571,-3.4620201587677,3.473950147628784
123.6880000000001,1786006781.855568,8688,-14.814229517272436,12.044444374859696,-0.3206445872783661,-0.8777778744697571,-3.542860269546509,3.4721202850341797
123.70399999999972,1786006781.874329,8689,-14.814229517272436,12.044444374859696,-0.3206445872783661,-0.8777778744697571,-3.2942302227020264,3.2604501247406006
123.71900000000005,1786006781.8781247,8690,-14.814229517272436,12.044444374859696,-0.3206445872783661,-0.8777778744697571,-2.961470127105713,2.9255599975585938
123.73499999999967,1786006781.8926346,8691,-14.814229517272436,12.044444374859696,-0.3206445872783661,-0.8777778744697571,-2.6113200187683105,2.5247902870178223
123.76599999999962,1786006781.9360948,8692,-14.814229517272436,12.044444374859696,-0.3206445872783661,-0.8777778744697571,-2.165290117263794,2.1655001640319824
123.76599999999962,1786006781.9374537,8693,-14.814229517272436,12.044444374859696,-0.3206445872783661,-0.8777778744697571,-1.9002101421356201,1.9318701028823853
123.78200000000015,1786006781.9514515,8694,-14.814229517272436,12.044444374859696,-0.3206445872783661,-0.8777778744697571,-1.5806100368499756,1.6079601049423218
123.79699999999957,1786006781.9559906,8695,-14.814229517272436,12.044444374859696,-0.3206445872783661,-0.8777778744697571,-1.2234101295471191,1.3450500965118408
123.8130000000001,1786006781.9799414,8696,-16.940084915303885,17.7683204842488,-1.4263890981674194,2.4969797134399414,-1.2445601224899292,1.2285401821136475
123.8130000000001,1786006781.9799414,8697,-17.29164841226278,15.889656462469283,-1.3646037578582764,2.1347899436950684,-1.800570011138916,1.9440701007843018
123.82899999999972,1786006781.9937654,8698,-17.000511598890988,14.74158362526018,-1.2751215696334839,1.7971011400222778,-3.589860200881958,3.6118104457855225
123.84400000000005,1786006782.0128968,8699,-16.555565755599677,12.231209067524524,-1.3124058246612549,2.2327942848205566,-4.38886022567749,4.30172061920166
123.85999999999967,1786006782.032103,8700,-15.781029133909401,10.687627296236663,-1.2261193990707397,2.1433119773864746,-4.462180137634277,4.49021053314209
123.875,1786006782.0363894,8701,-15.54482070184285,10.687627296236663,-1.01839280128479,2.1433119773864746,-4.409070014953613,4.362720489501953
123.89099999999962,1786006782.0540323,8702,-15.52834628556478,10.687627296236663,-1.0215885639190674,2.1433119773864746,-4.162790298461914,4.15410041809082
123.9380000000001,1786006782.0970914,8703,-15.440455411325056,10.687627296236663,-1.1366370916366577,2.1433119773864746,-4.0753703117370605,4.069920539855957
123.9380000000001,1786006782.0970914,8704,-14.66042048735292,10.687627296236663,-1.3848437070846558,2.1433119773864746,-4.028840065002441,4.014410495758057
123.95399999999972,1786006782.1124384,8705,-14.144065016289124,10.687627296236663,-1.3891048431396484,2.1433119773864746,-4.041060447692871,3.919250249862671
123.95399999999972,1786006782.1171372,8706,-13.083883053319745,10.687627296236663,-1.266599416732788,2.1433119773864746,-3.8610501289367676,3.862520217895508
123.96900000000005,1786006782.1331615,8707,-12.56203611016326,10.687627296236663,-1.2112056016921997,2.1433119773864746,-3.8516502380371094,3.7990801334381104
123.98499999999967,1786006782.1526108,8708,-11.46340018216671,10.687627296236663,-1.254881501197815,2.1433119773864746,-3.6622400283813477,3.702700138092041
124.01599999999962,1786006782.1728175,8709,-10.853662364770502,-5.473255978173828,-1.2463593482971191,1.1952266693115234,-3.611480236053467,3.572160243988037
124.01599999999962,1786006782.1768892,8710,-9.601217406854435,-6.297236339265826,-1.1419634819030762,1.2271846532821655,-3.167330026626587,3.1463804244995117
124.03200000000015,1786006782.193759,8711,-9.040916498670779,-7.901237963951621,-1.0492854118347168,0.9129316210746765,-2.1154701709747314,2.0422801971435547
124.04699999999957,1786006782.2128732,8712,-7.903833435836225,-8.576893937027622,-1.1163971424102783,0.9917612075805664,-1.2243499755859375,1.2224401235580444
124.0630000000001,1786006782.232466,8713,-7.34902399974526,-9.878775804156243,-1.1195929050445557,0.9555422067642212,-0.6518900394439697,0.6783201098442078
124.07899999999972,1786006782.237252,8714,-6.178978443976225,-10.367667084567415,-1.042893886566162,0.7893609404563904,-0.33228999376296997,0.28060001134872437
124.09400000000005,1786006782.2529721,8715,-5.508813942992914,-10.91698504856569,-1.063133955001831,0.6977481842041016,0.041360002011060715,-0.0012200000928714871
124.10999999999967,1786006782.2733972,8716,-4.223413322331535,-11.10374974123052,-1.117462396621704,0.679638683795929,0.24345999956130981,-0.26535001397132874
124.125,1786006782.2923515,8717,-3.6191669770280166,-11.081777022670588,-1.1068097352981567,0.4921521544456482,0.5771600008010864,-0.5557100772857666
124.125,1786006782.2955244,8718,-2.289820919246775,-10.779657265113414,-1.043959140777588,0.3813646733760834,0.6918400526046753,-0.7045500874519348
124.14099999999962,1786006782.3130143,8719,-1.5921853974216724,-10.125967180408173,-1.1419634819030762,0.42930155992507935,0.7900700569152832,-0.8027600646018982
124.17199999999957,1786006782.3324099,8720,-0.2848120582003617,-9.61510318143707,-1.0844391584396362,0.15233281254768372,0.9179100394248962,-0.9363500475883484
124.17199999999957,1786006782.335474,8721,0.39084391487563963,-7.796865843244656,-1.1291803121566772,-0.7297061085700989,1.0222500562667847,-1.041270136833191
124.1880000000001,1786006782.3527937,8722,1.8245620933638462,-7.362909774327895,-1.3646037578582764,-0.15872439742088318,1.1298800706863403,-1.1236201524734497
124.20399999999972,1786006782.3730073,8723,2.5166993129070883,-6.429065820436242,-1.346494197845459,-0.21198761463165283,1.1726500988006592,-1.1437500715255737
124.23499999999967,1786006782.3926377,8724,4.109717993407502,-5.962147258585,-1.5265239477157593,-0.14487595856189728,1.2116600275039673,-1.1498501300811768
124.23499999999967,1786006782.3964694,8725,4.889746087190469,-5.511709943201,-1.544633388519287,0.148071750998497,1.2304600477218628,-1.173030138015747
124.25,1786006782.412062,8726,6.499242599063538,-5.29198275760169,-1.495631217956543,-0.10333064943552017,1.2483201026916504,-1.2468401193618774
124.26599999999962,1786006782.4328017,8727,7.273779220753814,-4.407582543111758,-1.5297197103500366,-0.4324973523616791,1.3691099882125854,-1.3499300479888916
124.28200000000015,1786006782.453457,8728,8.949193888306677,-3.990100890473069,-1.5243934392929077,-0.26631611585617065,1.4565300941467285,-1.4402101039886475
124.3130000000001,1786006782.4729168,8729,9.767675947116814,-3.4682539473165845,-1.5371766090393066,-0.2183792144060135,1.5557000637054443,-1.470710039138794
124.3130000000001,1786006782.4788387,8730,11.377172458989884,-3.171625661852101,-1.486043930053711,-0.47510793805122375,1.6576900482177734,-1.6415101289749146
124.32899999999972,1786006782.4932551,8731,12.201149404987298,-2.1279181151607927,-1.6010924577713013,-1.1899003982543945,1.761560082435608,-1.7671700716018677
124.34400000000005,1786006782.5131025,8732,13.816137388953058,-1.3588797957523768,-1.5829828977584839,-1.5670039653778076,1.8743600845336914,-1.8751400709152222
124.375,1786006782.532296,8733,14.667578525603092,0.5911938537996236,-1.8205368518829346,-2.240251064300537,1.9890401363372803,-1.9947001934051514
124.375,1786006782.5360432,8734,16.83188447356713,-0.10094336574361845,-2.0548951625823975,0.26205503940582275,2.123929977416992,-2.077660083770752
124.39099999999962,1786006782.5522034,8735,17.265843957578472,-1.6555080812168605,-0.4878911077976227,-0.41119205951690674,2.2042999267578125,-2.155740261077881
124.40700000000015,1786006782.578141,8736,16.903297516434197,-1.704944990429413,-0.05326322093605995,-0.6977481842041016,2.3993499279022217,-2.383270263671875
124.42199999999957,1786006782.593389,8737,17.128516174126197,-0.7381522039816181,0.19707392156124115,-0.6093312501907349,2.563850164413452,-2.5290603637695312
124.4380000000001,1786006782.5964181,8738,17.502052389645023,-0.1064348378363087,-0.23968449234962463,-0.3888215124607086,2.4848899841308594,-2.501610279083252
124.45399999999972,1786006782.6125078,8739,17.304297922605645,0.15723778488286355,0.9299758672714233,-0.5390238165855408,2.470790147781372,-2.4985601902008057
124.46900000000005,1786006782.6338568,8740,14.881810824015128,0.17921050344279457,2.092179298400879,-1.06100332736969,2.4825401306152344,-2.516860246658325
124.48499999999967,1786006782.6528783,8741,13.816137388953058,0.5197842260271404,1.3944311141967773,-1.5222628116607666,2.5380001068115234,-2.5199100971221924
124.48499999999967,1786006782.6549857,8742,12.332985716346883,1.8106763187812103,1.2857741117477417,-1.4626080989837646,2.271980047225952,-2.358870029449463
124.51599999999962,1786006782.6727798,8743,11.745217202416022,1.8106763187812103,1.3006879091262817,-1.4626080989837646,2.119230031967163,-2.1331701278686523
124.53200000000015,1786006782.6923478,8744,10.185157599755504,1.8106763187812103,1.8983012437820435,-1.4626080989837646,1.9237102270126343,-1.8580602407455444
124.53200000000015,1786006782.699817,8745,9.119484164693434,3.898077751785487,2.0144150257110596,-1.100418210029602,1.7521600723266602,-1.796450138092041
124.54699999999957,1786006782.714289,8746,7.240820142913917,4.419931525131141,1.3528858423233032,-1.1153318881988525,1.5345500707626343,-1.4615601301193237
124.57899999999972,1786006782.7383194,8747,6.263037582091572,5.2768607187792815,1.7864484786987305,-0.9864348769187927,1.0871100425720215,-1.1272801160812378
124.59400000000005,1786006782.7519257,8748,3.9174549984608134,5.68885089932528,2.1230719089508057,-1.0418286323547363,0.7454200387001038,-0.7478600740432739
124.60999999999967,1786006782.7748427,8749,2.840798619213363,6.787486827321831,1.855690598487854,-1.2452940940856934,0.5865600109100342,-0.5032500624656677
124.60999999999967,1786006782.778193,8750,0.808325567514329,7.397224644718039,1.7449030876159668,-1.284708857536316,0.2011600136756897,-0.1823900192975998
124.625,1786006782.7931333,8751,-0.22988367689511915,8.48487079834004,1.7949705123901367,-1.1781824827194214,-0.14899000525474548,0.13481001555919647
124.64099999999962,1786006782.8128247,8752,-2.3832032655791893,9.001226269403833,1.8642127513885498,-1.143028736114502,-0.46248000860214233,0.455670028924942
124.67199999999957,1786006782.83243,8753,-3.4269039820813276,9.98999860460073,1.900431752204895,-1.0524812936782837,-0.8742000460624695,0.8875500559806824
124.67199999999957,1786006782.8368714,8754,-5.1187964810068465,10.440435919984731,1.9558254480361938,-1.0279802083969116,-1.1345800161361694,1.1699800491333008
124.6880000000001,1786006782.8543885,8755,-5.8109337005500885,11.220464013767696,1.9963055849075317,-0.6455502510070801,-1.4400800466537476,1.448140025138855
124.70399999999972,1786006782.8736534,8756,-7.178733723358501,11.621471250128316,1.9483686685562134,-1.0130665302276611,-1.8113800287246704,1.6970200538635254
124.73499999999967,1786006782.8942068,8757,-7.881860717276294,12.659673664348594,1.9473034143447876,-0.9534116387367249,-1.9899801015853882,1.9825001955032349
124.73499999999967,1786006782.896953,8758,-9.249653909895537,13.148564944759766,1.6703345775604248,-0.9843043088912964,-2.242370128631592,2.2130801677703857
124.75,1786006782.9130049,8759,-9.826442894735605,13.148564944759766,1.4626080989837646,-0.9843043088912964,-2.5309500694274902,2.4711101055145264
