timestamp,loop_index,left_raw_angle_deg,right_raw_angle_deg,left_calibrated_angle_rad,right_calibrated_angle_rad,left_angular_velocity_rad_s,right_angular_velocity_rad_s,left_filtered_angle_rad,right_filtered_angle_rad,left_filtered_angular_velocity_rad_s,right_filtered_angular_velocity_rad_s,left_actual_torque_nm,right_actual_torque_nm,left_action_norm,right_action_norm,left_raw_tcn_command_nm,right_raw_tcn_command_nm,left_command_nm,right_command_nm,history_ready,inference_time_ms,loop_time_ms,overrun,enabled
0.300001,30,102.568359,96.064453,-0.017837815,-0.011687164,-0.281938212,-0.019020297,-0.017285361,-0.011017790,-0.282369395,-0.025072901,-0.021150,0.004270,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.119308,0,0
0.310001,31,102.612305,96.091919,-0.018604806,-0.012166533,-0.281938212,-0.024346619,-0.017900898,-0.011553693,-0.282168243,-0.024734082,0.011750,-0.010370,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.169232,0,0
0.320001,32,102.700195,96.130371,-0.020138786,-0.012837650,-0.273416096,-0.038195056,-0.018944899,-0.012152674,-0.278085262,-0.031013787,0.015040,-0.003050,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.164251,0,0
0.330001,33,102.738647,96.179810,-0.020809903,-0.013700514,-0.275546625,-0.043521379,-0.019814946,-0.012874760,-0.276900958,-0.036848727,0.000000,-0.030500,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.154696,0,0
0.340001,34,102.777100,96.278687,-0.021481020,-0.015426243,-0.278742419,-0.043521379,-0.020592189,-0.014065057,-0.277760021,-0.039961599,0.000940,0.024400,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.148640,0,0
0.350001,35,102.815552,96.328125,-0.022152136,-0.016289107,-0.278742419,-0.025411883,-0.021319923,-0.015102603,-0.278218321,-0.033173983,0.015040,-0.037820,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.137511,0,0
0.360001,36,102.854004,96.361084,-0.022823253,-0.016864350,-0.276611890,-0.005171859,-0.022021244,-0.015924479,-0.277468902,-0.020110659,-0.021150,-0.030500,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.140325,0,0
0.370001,37,102.854004,96.361084,-0.022823253,-0.016864350,-0.276611890,-0.005171859,-0.022395391,-0.016362940,-0.277069096,-0.013141531,-0.000940,-0.010370,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.180268,0,0
0.380001,38,102.914429,96.361084,-0.023877865,-0.016864350,-0.255306601,-0.005171859,-0.023086982,-0.016596853,-0.266916633,-0.009423584,0.011750,0.016470,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.177194,0,0
0.390001,39,102.930908,96.405029,-0.024165486,-0.017631340,-0.243588692,0.015068165,-0.023590117,-0.017079454,-0.256033871,0.002002109,-0.004700,-0.010370,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.171787,0,0
0.400001,40,102.936401,96.421509,-0.024261360,-0.017918961,-0.234001312,0.020394488,-0.023903260,-0.017471094,-0.245755420,0.010582373,0.011750,-0.003050,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.248486,0,0
0.410001,41,102.936401,96.437988,-0.024261360,-0.018206583,-0.227609726,0.024655545,-0.024070318,-0.017814208,-0.237290237,0.017147675,0.015040,0.004270,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.266097,0,0
0.420001,42,102.930908,96.465454,-0.024165486,-0.018685952,-0.216957081,0.027851339,-0.024114715,-0.018220887,-0.227804578,0.022141062,-0.000940,0.024400,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.159509,0,0
0.430001,43,102.914429,96.481934,-0.023877865,-0.018973573,-0.206304437,0.024655545,-0.024004221,-0.018572024,-0.217774506,0.023314098,0.018800,0.004270,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.191101,0,0
0.440001,44,102.914429,96.481934,-0.023877865,-0.018973573,-0.206304437,0.024655545,-0.023945274,-0.018759351,-0.212423582,0.023939899,-0.021150,0.044530,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.172213,0,0
0.450001,45,102.892456,96.498413,-0.023494369,-0.019261195,-0.205239173,0.025720810,-0.023734922,-0.018993467,-0.209071970,0.024770715,0.016450,-0.030500,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.204489,0,0
0.460000,46,102.870483,96.498413,-0.023110874,-0.019261195,-0.209500230,0.025720810,-0.023443796,-0.019118365,-0.209271758,0.025213946,-0.002350,0.044530,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.147066,0,0
0.470001,47,102.832031,96.536865,-0.022439758,-0.019932311,-0.224413932,0.016133430,-0.022975400,-0.019498081,-0.216335763,0.020977777,-0.000940,-0.003050,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.203415,0,0
0.480001,48,102.821045,96.580811,-0.022248010,-0.020699301,-0.225479197,0.023590281,-0.022636064,-0.020058464,-0.220601284,0.022196541,-0.024440,-0.030500,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.149807,0,0
0.490001,49,102.815552,96.591797,-0.022152136,-0.020891049,-0.227609726,0.039569247,-0.022410306,-0.020446875,-0.223870805,0.030301116,-0.018800,-0.003050,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.126771,0,0
0.500001,50,102.804565,96.591797,-0.021960389,-0.020891049,-0.229740255,0.061939801,-0.022200414,-0.020654088,-0.226608973,0.045060939,-0.043710,0.004270,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.135104,0,0
0.510001,51,102.804565,96.591797,-0.021960389,-0.020891049,-0.229740255,0.061939801,-0.022088439,-0.020764633,-0.228069753,0.052935129,0.028200,-0.003050,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.154807,0,0
0.520001,52,102.782593,96.575317,-0.021576893,-0.020603428,-0.211630759,0.094962998,-0.021849797,-0.020689429,-0.220400767,0.072541630,0.026790,-0.003050,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.192434,0,0
0.530001,53,102.782593,96.536865,-0.021576893,-0.019932311,-0.211630759,0.118398816,-0.021722484,-0.020336224,-0.216309454,0.093934553,-0.007050,-0.003050,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.243542,0,0
0.540001,54,102.711182,96.536865,-0.020330534,-0.019932311,-0.174346504,0.118398816,-0.021073123,-0.020147794,-0.196733238,0.105347423,-0.005640,0.004270,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.167843,0,0
0.550001,55,102.645264,96.470947,-0.019180048,-0.018781826,-0.139192778,0.104550378,-0.020189981,-0.019510553,-0.169889928,0.104975592,-0.031490,-0.003050,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.272300,0,0
0.560001,56,102.557373,96.465454,-0.017646068,-0.018685952,-0.110430638,-0.010498181,-0.019003215,-0.019125867,-0.142151461,0.051105702,0.025850,0.018300,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.162695,0,0
0.570001,57,102.458496,96.520386,-0.015920339,-0.019644690,-0.100843258,-0.043521379,-0.017565017,-0.019367904,-0.122880692,0.006961042,0.011750,0.024400,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.130438,0,0
0.580002,58,102.458496,96.520386,-0.015920339,-0.019644690,-0.100843258,-0.043521379,-0.016797755,-0.019497028,-0.112599967,-0.016589608,-0.031490,-0.009150,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.137733,0,0
0.590001,59,102.348633,96.564331,-0.014002863,-0.020411680,-0.095516936,-0.004106594,-0.015493905,-0.019923724,-0.104630529,-0.010766134,0.011750,0.003050,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.126419,0,0
0.600001,60,102.238770,96.580811,-0.012085387,-0.020699301,-0.091255878,0.050221892,-0.013903791,-0.020285540,-0.098391095,0.017685507,-0.002350,0.018300,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.180620,0,0
0.610001,61,102.030029,96.575317,-0.008442183,-0.020603428,-0.096582200,0.083245089,-0.011355886,-0.020433838,-0.097547224,0.048269833,0.011750,-0.003050,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.154510,0,0
0.620001,62,101.936646,96.525879,-0.006812328,-0.019740564,-0.109365373,0.098158791,-0.009236262,-0.020110417,-0.103060531,0.071543626,0.018800,-0.030500,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.131623,0,0
0.630001,63,101.865234,96.492920,-0.005565969,-0.019165321,-0.129605398,0.114137758,-0.007524027,-0.019669519,-0.115444028,0.091414296,0.011750,0.018300,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.142733,0,0
0.640001,64,101.804810,96.454468,-0.004511357,-0.018494204,-0.134931720,0.126920931,-0.006118580,-0.019121220,-0.124535268,0.107978564,-0.009400,0.024400,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.173176,0,0
0.650001,65,101.804810,96.454468,-0.004511357,-0.018494204,-0.134931720,0.126920931,-0.005368792,-0.018828710,-0.129385337,0.116815404,0.004700,0.018300,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.200082,0,0
0.660001,66,101.634521,96.416016,-0.001539269,-0.017823088,-0.090190613,0.120529345,-0.003582274,-0.018359575,-0.111100532,0.118548001,-0.024440,-0.007320,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.231839,0,0
0.670001,67,101.535645,96.383057,0.000186459,-0.017247845,-0.074211647,0.113072494,-0.001824115,-0.017840940,-0.093891428,0.115993612,0.003290,0.025620,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.176009,0,0
0.680001,68,101.436768,96.350098,0.001912187,-0.016672602,-0.072081118,0.103485114,-0.000081085,-0.017295896,-0.083716658,0.110158248,-0.024440,-0.031720,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.200211,0,0
0.690001,69,101.343384,96.317139,0.003542042,-0.016097359,-0.068885325,0.100289320,0.001609147,-0.016736764,-0.076797665,0.105554276,-0.009400,0.022570,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.233284,0,0
0.700001,70,101.255493,96.273193,0.005076023,-0.015330369,-0.061428474,0.075788238,0.003226486,-0.016080664,-0.069627754,0.091668065,0.011750,-0.027450,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.150307,0,0
0.710001,71,101.173096,96.251221,0.006514130,-0.014946874,-0.072081118,0.072592445,0.004760211,-0.015551737,-0.070772278,0.082769061,0.011750,0.013420,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.199582,0,0
0.720001,72,101.173096,96.251221,0.006514130,-0.014946874,-0.072081118,0.072592445,0.005578435,-0.015269561,-0.071382867,0.078021548,-0.009400,0.010370,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.236173,0,0
0.730001,73,101.101685,96.234741,0.007760489,-0.014659252,-0.075276911,0.073657709,0.006596389,-0.014984845,-0.073199485,0.075985766,0.031490,-0.009150,0.000000000,0.000000000,0.000000,0.000000,0.000000,0.000000,0,nan,0.181750,0,0
