elapsed_s,left_position_rad,right_position_rad,left_command_torque_nm,right_command_torque_nm,left_actual_torque_nm,right_actual_torque_nm
23.4000,-0.5357428,0.4555923,-2.2246,2.2246,-2.3523,2.3741
23.4100,-0.5418787,0.4471554,-2.1418,2.1418,-2.2433,2.2960
23.4200,-0.5453302,0.4345001,-2.0591,2.0591,-2.2635,2.2314
23.4300,-0.5483981,0.4260632,-1.9691,1.9691,-2.1639,2.0990
23.4400,-0.5483981,0.4153253,-1.8716,1.8716,-2.0624,2.0270
23.4500,-0.5483981,0.4080389,-1.7711,1.7711,-1.9214,1.9581
23.4600,-0.5472476,0.3984515,-1.6708,1.6708,-1.8645,1.8825
23.4700,-0.5457137,0.3923156,-1.5608,1.5608,-1.7808,1.7672
23.4800,-0.5426457,0.3834952,-1.4543,1.4543,-1.7038,1.6446
23.4900,-0.5399613,0.3777428,-1.3375,1.3375,-1.5407,1.5817
23.5000,-0.5338253,0.3700729,-1.2262,1.2262,-1.4659,1.4280
23.5100,-0.5288399,0.3650874,-1.1033,1.1033,-1.3442,1.3298
23.5200,-0.5204030,0.3562670,-0.9886,0.9886,-1.2164,1.2005
23.5300,-0.5146506,0.3505146,-0.8662,0.8662,-1.1181,1.1346
23.5400,-0.5031457,0.3420777,-0.7429,0.7429,-1.0378,1.0272
23.5500,-0.4943253,0.3367088,-0.6174,0.6174,-0.9001,0.8613
23.5600,-0.4805195,0.3290389,-0.4984,0.4984,-0.7628,0.7277
23.5700,-0.4701651,0.3229030,-0.3711,0.3711,-0.6387,0.5911
23.5800,-0.4548253,0.3129321,-0.2450,0.2450,-0.4780,0.5081
23.5900,-0.4440874,0.3060292,-0.1233,0.1233,-0.3986,0.3928
23.6000,-0.4272137,0.2987428,-0.0050,0.0050,-0.2599,0.2513
23.6100,-0.4160923,0.2956748,0.1218,-0.1218,-0.1288,0.1427
23.6200,-0.4003690,0.2903059,0.2380,-0.2380,-0.0033,0.0226
23.6300,-0.3919321,0.2883884,0.3619,-0.3619,0.0898,-0.1055
23.6400,-0.3781263,0.2830195,0.4808,-0.4808,0.2505,-0.2349
