X[s],"Avanti sensor 2: ACC.X 2",X[s],"Avanti sensor 2: ACC.Y 2",X[s],"Avanti sensor 2: ACC.Z 2",X[s],"Avanti sensor 2: GYRO.X 2",X[s],"Avanti sensor 2: GYRO.Y 2",X[s],"Avanti sensor 2: GYRO.Z 2",X[s],"L RECTUS FEMORIS: EMG 4",X[s],"L BICEPS FEMORIS: EMG 5",X[s],"Avanti sensor 7: ACC.X 7",X[s],"Avanti sensor 7: ACC.Y 7",X[s],"Avanti sensor 7: ACC.Z 7",X[s],"Avanti sensor 7: GYRO.X 7",X[s],"Avanti sensor 7: GYRO.Y 7",X[s],"Avanti sensor 7: GYRO.Z 7",X[s],"R RECTUS FEMORIS: EMG 10",X[s],"R BICEPS FEMORIS: EMG 15"
0.1242,-0.1196289,0.1242,-0.9902344,0.1242,-0.1689453,0.1242,-2.987805,0.1242,3.292683,0.1242,1.158537,0.02141379,0,0.02141379,0,0.1242,0.2719727,0.1242,-0.9648438,0.1242,-0.1831055,0.1242,-0.6707317,0.1242,3.47561,0.1242,1.158537,0.02141379,0,0.02141379,0
0.1269,-0.1171875,0.1269,-0.9868164,0.1269,-0.1674805,0.1269,-3.170732,0.1269,3.231707,0.1269,1.219512,0.02187931,0,0.02187931,0,0.1269,0.2700195,0.1269,-0.9638672,0.1269,-0.1811523,0.1269,-0.4878049,0.1269,3.536585,0.1269,0.9146342,0.02187931,0,0.02187931,0
0.1296,-0.1162109,0.1296,-0.9916992,0.1296,-0.1679688,0.1296,-3.170732,0.1296,3.170732,0.1296,1.219512,0.02234483,0,0.02234483,0,0.1296,0.2729492,0.1296,-0.9619141,0.1296,-0.1870117,0.1296,-0.5487805,0.1296,3.536585,0.1296,1.158537,0.02234483,0,0.02234483,0
0.1323,-0.1206055,0.1323,-0.9897461,0.1323,-0.168457,0.1323,-2.804878,0.1323,3.231707,0.1323,1.158537,0.02281034,0,0.02281034,0,0.1323,0.2734375,0.1323,-0.9619141,0.1323,-0.1850586,0.1323,-0.7926829,0.1323,3.414634,0.1323,1.036585,0.02281034,0,0.02281034,0
0.135,-0.1196289,0.135,-0.9887695,0.135,-0.1679688,0.135,-2.926829,0.135,3.170732,0.135,1.402439,0.02327586,0,0.02327586,0,0.135,0.2714844,0.135,-0.9628906,0.135,-0.1884766,0.135,-0.7926829,0.135,3.292683,0.135,1.036585,0.02327586,0,0.02327586,0
0.1377,-0.1176758,0.1377,-0.9863281,0.1377,-0.1674805,0.1377,-2.865854,0.1377,2.865854,0.1377,1.52439,0.02374138,0,0.02374138,0,0.1377,0.2700195,0.1377,-0.9604492,0.1377,-0.1865234,0.1377,-0.9146342,0.1377,3.353659,0.1377,1.158537,0.02374138,0,0.02374138,0
0.1404,-0.1210938,0.1404,-0.9873047,0.1404,-0.168457,0.1404,-2.926829,0.1404,3.353659,0.1404,1.585366,0.0242069,0,0.0242069,0,0.1404,0.2670898,0.1404,-0.9614258,0.1404,-0.1826172,0.1404,-1.097561,0.1404,3.536585,0.1404,1.097561,0.0242069,0,0.0242069,0
0.1431,-0.1162109,0.1431,-0.9907227,0.1431,-0.1694336,0.1431,-3.04878,0.1431,2.926829,0.1431,1.52439,0.02467241,0,0.02467241,0,0.1431,0.2749023,0.1431,-0.9555664,0.1431,-0.1831055,0.1431,-0.7926829,0.1431,3.597561,0.1431,1.280488,0.02467241,0,0.02467241,0
0.1458,-0.1201172,0.1458,-0.9868164,0.1458,-0.1723633,0.1458,-2.865854,0.1458,2.987805,0.1458,1.95122,0.02513793,0,0.02513793,0,0.1458,0.2685547,0.1458,-0.9599609,0.1458,-0.1811523,0.1458,-0.7926829,0.1458,3.658537,0.1458,1.158537,0.02513793,0,0.02513793,0
0.1485,-0.1171875,0.1485,-0.9858398,0.1485,-0.168457,0.1485,-2.804878,0.1485,3.292683,0.1485,1.52439,0.02560345,0,0.02560345,0,0.1485,0.2729492,0.1485,-0.9619141,0.1485,-0.1816406,0.1485,-0.8536586,0.1485,3.47561,0.1485,1.036585,0.02560345,0,0.02560345,0
